-l	el	Pp3msa--y-----w
străpunsese	străpunge	Vmil3s
și	și	Crssp
pentru	pentru	Spsa
o	un	Tifsr
clipă	clipă	Ncfsrn
fusese	fi	Vail3s
cuprins	cuprinde	Vmp--sm
de	de	Spsa
o	un	Tifsr
groază	groază	Ncfsrn
oarbă	orb	Afpfsrn
.	.	Zp

Îi	el	Pp3-sd--------w
trecuse	trece	Vmil3s
prin	prin	Spsa
cap	cap	Ncms-n
ideea	idee	Ncfsry
că	că	Csssp
fata	fată	Ncfsry
ar	avea	Va--3
fi	fi	Vanp
putut	putea	Vmp--sm
lucra	lucra	Vmnp
pentru	pentru	Spsa
Poliția	poliție	Ncfsry
Gândirii	gândire	Ncfsoy
.	.	Zp

Sigur	sigur	Rgp
că	că	Csssp
puțin	puțin	Rgp
probabil	probabil	Rgp
așa	așa	Rgp
ceva	ceva	Pi3-sr
dar	dar	Ccssp
ori	oară	Ncfp-n
de	de	Spsa
câte	cât	Dw3fpr
ori	oară	Ncfp-n
fata	fată	Ncfsry
se	sine	Px3--a--------w
afla	afla	Vmii3s
prin	prin	Spsa
apropierea	apropiere	Ncfsry
lui	lui	Ds3---s
,	,	Zc
el	el	Pp3msr--------s
simțea	simți	Vmii3s
,	,	Zc
în	în	Spsa
continuare	continuare	Ncfsrn
,	,	Zc
o	un	Tifsr
neliniște	neliniște	Ncfsrn
ciudată	ciudat	Afpfsrn
care	care	Pw3--r
avea	avea	Vmii3s
în	în	Spsa
ea	el	Pp3fsr--------s
și	și	Crssp
teamă	teamă	Ncfsrn
și	și	Crssp
dușmănie	dușmănie	Ncfsrn
.	.	Zp

Cealaltă	celălalt	Dd3fsr
persoană	persoană	Ncfsrn
era	fi	Vaii3s
un	un	Timsr
bărbat	bărbat	Ncms-n
pe	pe	Spsa
care	care	Pw3--r
-l	el	Pp3msa--y-----w
chema	chema	Vmii3s
O'Brien	O'Brien	Np
.	.	Zp

Era	fi	Vaii3s
membru	membru	Ncms-n
al	al	Tsms
Partidului	partid	Ncmsoy
Interior	interior	Afpms-n
și	și	Crssp
deținea	deține	Vmii3s
un	un	Timsr
post	post	Ncms-n
atât	atât	Rgp
de	de	Spsa
important	important	Afpms-n
și	și	Crssp
de	de	Spsa
sus-pus	sus-pus	Afpms-n
,	,	Zc
încât	încât	Csssp
Winston	Winston	Np
știa	ști	Vmii3s
doar	doar	Rgp
foarte	foarte	Rgp
vag	vag	Rgp
cu	cu	Spsa
ce	ce	Pw3--r
anume	anume	Afp
se	sine	Px3--a--------w
ocupa	ocupa	Vmii3s
.	.	Zp

Oamenii	om	Ncmpry
de	de	Spsa
pe	pe	Spsa
scaune	scaun	Ncfp-n
scoseseră	scoate	Vmil3p
un	un	Timsr
murmur	murmur	Ncms-n
văzând	vedea	Vmg
salopeta	salopetă	Ncfsry
neagră	negru	Afpfsrn
a	al	Tsfs
unui	un	Timso
membru	membru	Ncms-n
al	al	Tsms
Partidului	partid	Ncmsoy
Interior	interior	Afpms-n
.	.	Zp

O'Brien	O'Brien	Np
era	fi	Vaii3s
un	un	Timsr
bărbat	bărbat	Ncms-n
voinic	voinic	Afpms-n
,	,	Zc
aproape	aproape	Rgp
masiv	masiv	Rgp
,	,	Zc
cu	cu	Spsa
ceafa	ceafă	Ncfsry
groasă	gros	Afpfsrn
și	și	Crssp
cu	cu	Spsa
figura	figură	Ncfsry
aspră	aspru	Afpfsrn
,	,	Zc
ironică	ironic	Afpfsrn
și	și	Crssp
brutală	brutal	Afpfsrn
.	.	Zp

Winston	Winston	Np
se	sine	Px3--a--------w
duse	duce	Vmis3s
către	către	Spsa
fereastră	fereastră	Ncfsrn
:	:	Zl
avea	avea	Vmii3s
o	un	Tifsr
figură	figură	Ncfsrn
fragilă	fragil	Afpfsrn
,	,	Zc
mai	mai	Rp
degrabă	degrabă	Rgp
mică	mic	Afpfsrn
,	,	Zc
iar	iar	Rc
salopeta	salopetă	Ncfsry
albastră	albastru	Afpfsrn
,	,	Zc
care	care	Pw3--r
era	fi	Vaii3s
uniforma	uniformă	Ncfsry
Partidului	partid	Ncmsoy
,	,	Zc
scotea	scoate	Vmii3s
în	în	Spsa
evidență	evidență	Ncfsrn
cât	cât	Rw
era	fi	Vaii3s
de	de	Spsa
slab	slab	Afpms-n
.	.	Zp

În	în	Spsa
ciuda	ciudă	Ncfsry
aspectului	aspect	Ncmsoy
său	său	Ds3ms-s
înfricoșător	înfricoșător	Afpms-n
,	,	Zc
avea	avea	Vmii3s
un	un	Timsr
anume	anume	Afp
farmec	farmec	Ncms-n
în	în	Spsa
comportament	comportament	Ncms-n
,	,	Zc
o	un	Tifsr
mișcare	mișcare	Ncfsrn
de	de	Spsa
a	a	Qn
-și	sine	Px3--d--y-----w
potrivi	potrivi	Vmnp
mai	mai	Rp
bine	bine	Rgp
ochelarii	ochelari	Ncmpry
pe	pe	Spsa
nas	nas	Ncms-n
care	care	Pw3--r
,	,	Zc
curios	curios	Rgp
,	,	Zc
te	tu	Pp2-sa--------w
lăsa	lăsa	Vmii3s
fără	fără	Spsa
replică	replică	Ncfsrn
-	-	Zd
deși	deși	Csssp
nu	nu	Qz
era	fi	Vaii3s
clar	clar	Rgp
în	în	Spsa
ce	ce	Dw3--r---e
fel	fel	Ncms-n
-	-	Zd
un	un	Timsr
gest	gest	Ncms-n
ciudat	ciudat	Rgp
de	de	Spsa
manierat	maniera	Vmp--sm
.	.	Zp

Era	fi	Vaii3s
un	un	Timsr
gest	gest	Ncms-n
care	care	Pw3--r
,	,	Zc
dacă	dacă	Csssp
ar	avea	Va--3
mai	mai	Rp
fi	fi	Vanp
gândit	gândi	Vmp--sm
cineva	cineva	Pi3-sr
în	în	Spsa
acești	acest	Dd3mpr---e
termeni	termen	Ncmp-n
,	,	Zc
ți-	tu	Pp2-sd--y-----w
ar	avea	Va--3
fi	fi	Vanp
putut	putea	Vmp--sm
aminti	aminti	Vmnp
un	un	Timsr
nobil	nobil	Ncms-n
din	din	Spsa
secolul	secol	Ncmsry
optsprezece	optsprezece	Mc-p-l
care	care	Pw3--r
-ți	tu	Pp2-sd--y-----w
întindea	întinde	Vmii3s
cutia	cutie	Ncfsry
de	de	Spsa
prizat	priza	Vmp--sm
.	.	Zp

Winston	Winston	Np
îl	el	Pp3msa--------w
mai	mai	Rp
văzuse	vedea	Vmil3s
pe	pe	Spsa
O'Brien	O'Brien	Np
poate	poate	Rgp
de	de	Spsa
zece	zece	Mc-p-l
ori	oară	Ncfp-n
în	în	Spsa
tot	tot	Rgp
atâția	atât	Di3mpr
ani	an	Ncmp-n
.	.	Zp

Se	sine	Px3--a--------w
simțea	simți	Vmii3s
foarte	foarte	Rp
tare	tare	Rgp
atras	atrage	Vmp--sm
de	de	Spsa
el	el	Pp3msr--------s
,	,	Zc
nu	nu	Qz
numai	numai	Rgp
fiindcă	fiindcă	Csssp
era	fi	Vaii3s
intrigat	intriga	Vmp--sm
de	de	Spsa
contrastul	contrast	Ncmsry
dintre	dintre	Spsa
aspectul	aspect	Ncmsry
lui	lui	Ds3---s
rafinat	rafinat	Afpms-n
și	și	Crssp
fizicul	fizic	Ncmsry
de	de	Spsa
boxer	boxer	Ncms-n
profesionist	profesionist	Afpms-n
,	,	Zc
ci	ci	Ccssp
mai	mai	Rp
degrabă	degrabă	Rgp
din	din	Spsa
cauza	cauză	Ncfsry
unei	un	Tifso
convingeri	convingere	Ncfson
ținute	ține	Vmp--pf
secretă	secret	Afpfsrn
-	-	Zd
sau	sau	Ccssp
poate	poate	Rgp
nici	nici	Rz
măcar	măcar	Rgp
dintr-	dintru	Spsay
o	un	Tifsr
convingere	convingere	Ncfsrn
,	,	Zc
ci	ci	Ccssp
dintr-	dintru	Spsay
o	un	Tifsr
speranță	speranță	Ncfsrn
-	-	Zd
și	și	Crssp
anume	anume	Rgp
că	că	Csssp
ortodoxia	ortodoxie	Ncfsry
politică	politic	Afpfsrn
a	al	Tsfs
lui	lui	Tf-so
O'Brien	O'Brien	Np
nu	nu	Qz
era	fi	Vaii3s
perfectă	perfect	Afsfsrn
.	.	Zp

Era	fi	Vmii3s
ceva	ceva	Pi3-sr
în	în	Spsa
figura	figură	Ncfsry
lui	lui	Ds3---s
care	care	Pw3--r
sugera	sugera	Vmii3s
automat	automat	Rgp
lucrul	lucru	Ncmsry
ăsta	acesta	Dd3msr---o
.	.	Zp

Și	și	Crssp
,	,	Zc
de	de	Spsa
fapt	fapt	Ncms-n
,	,	Zc
poate	poate	Rgp
nici	nici	Rz
măcar	măcar	Rgp
nu	nu	Qz
era	fi	Vaii3s
neortodoxie	neortodoxie	Ncfsrn
ce	ce	Pw3--r
i	el	Pp3-sd--------w
se	sine	Px3--a--------w
citea	citi	Vmii3s
pe	pe	Spsa
față	față	Ncfsrn
,	,	Zc
ci	ci	Ccssp
,	,	Zc
pur	pur	Rgp
și	și	Crssp
simplu	simplu	Rgp
,	,	Zc
inteligență	inteligență	Ncfsrn
.	.	Zp

Oricum	oricum	Rgp
,	,	Zc
avea	avea	Vmii3s
înfățișarea	înfățișare	Ncfsry
unui	un	Timso
om	om	Ncms-n
cu	cu	Spsa
care	care	Pw3--r
puteai	putea	Vmii2s
sta	sta	Vmnp
de	de	Spsa
vorbă	vorbă	Ncfsrn
,	,	Zc
dacă	dacă	Csssp
ai	avea	Va--2s
fi	fi	Vanp
putut	putea	Vmp--sm
cumva	cumva	Rgp
păcăli	păcăli	Vmnp
tele-ecranul	tele-ecran	Ncmsry
și	și	Crssp
să	să	Qs
-l	el	Pp3msa--y-----w
prinzi	prinde	Vmip2s
singur	singur	Afpms-n
.	.	Zp

Winston	Winston	Np
nu	nu	Qz
făcuse	face	Vmil3s
niciodată	niciodată	Rz
nici	nici	Rz
cel	cel	Tdmsr
mai	mai	Rp
mic	mic	Afpms-n
efort	efort	Ncms-n
de	de	Spsa
a	a	Qn
-și	sine	Px3--d--y-----w
verifica	verifica	Vmnp
presupunerea	presupunere	Ncfsry
:	:	Zl
fiindcă	fiindcă	Csssp
,	,	Zc
într-adevăr	într-adevăr	Rgp
,	,	Zc
nici	nici	Rz
nu	nu	Qz
avea	avea	Vmii3s
cum	cum	Rw
să	să	Qs
facă	face	Vmsp3
așa	așa	Rgp
ceva	ceva	Pi3-sr
.	.	Zp

În	în	Spsa
momentul	moment	Ncmsry
când	când	Rw
intrase	intra	Vmil3s
,	,	Zc
O'Brien	O'Brien	Np
se	sine	Px3--a--------w
uitase	uita	Vmil3s
la	la	Spsa
ceas	ceas	Ncms-n
și	și	Crssp
,	,	Zc
văzând	vedea	Vmg
că	că	Csssp
era	fi	Vmii3s
aproape	aproape	Rgp
ora	oră	Ncfsry
unsprezece	unsprezece	Mc-p-l
se	sine	Px3--a--------w
hotărâse	hotărî	Vmil3s
,	,	Zc
în	în	Spsa
mod	mod	Ncms-n
evident	evident	Rgp
,	,	Zc
să	să	Qs
rămână	rămâne	Vmsp3
la	la	Spsa
Secția	secție	Ncfsry
Documente	document	Ncfp-n
pentru	pentru	Spsa
cele	cel	Tdfpr
Două	doi	Mcfp-l
Minute	minut	Ncfp-n
de	de	Spsa
Ură	ură	Ncfsrn
.	.	Zp

Se	sine	Px3--a--------w
așezase	așeza	Vmil3s
pe	pe	Spsa
același	același	Dd3msr---e
rând	rând	Ncms-n
cu	cu	Spsa
Winston	Winston	Np
,	,	Zc
câteva	câtva	Di3fpr
scaune	scaun	Ncfp-n
mai	mai	Rp
departe	departe	Rgp
.	.	Zp

Avea	avea	Vmii3s
un	un	Timsr
păr	păr	Ncms-n
foarte	foarte	Rp
blond	blond	Afpms-n
și	și	Crssp
o	un	Tifsr
față	față	Ncfsrn
sangvină	sangvin	Afpfsrn
de	de	Spsa
la	la	Spsa
natură	natură	Ncfsrn
,	,	Zc
cu	cu	Spsa
pielea	piele	Ncfsry
înăsprită	înăspri	Vmp--sf
de	de	Spsa
săpunul	săpun	Ncmsry
prost	prost	Afpms-n
,	,	Zc
de	de	Spsa
lamele	lamă	Ncfpry
de	de	Spsa
ras	rade	Vmp--sm
tocite	tocit	Afpfp-n
și	și	Crssp
de	de	Spsa
frigul	frig	Ncmsry
iernii	iarnă	Ncfsoy
care	care	Pw3--r
abia	abia	Rgp
trecuse	trece	Vmil3s
.	.	Zp

O	un	Tifsr
femeie	femeie	Ncfsrn
mică	mic	Afpfsrn
de	de	Spsa
statură	statură	Ncfsrn
,	,	Zc
cu	cu	Spsa
părul	păr	Ncmsry
de	de	Spsa
culoarea	culoare	Ncfsry
nisipului	nisip	Ncmsoy
,	,	Zc
care	care	Pw3--r
lucra	lucra	Vmii3s
în	în	Spsa
boxa	boxă	Ncfsry
de	de	Spsa
lângă	lângă	Spsa
a	al	Tsfs
lui	lui	Tf-so
Winston	Winston	Np
,	,	Zc
se	sine	Px3--a--------w
așezase	așeza	Vmil3s
între	între	Spsa
ei	el	Pp3mpr--------s
.	.	Zp

Fata	fată	Ncfsry
cu	cu	Spsa
părul	păr	Ncmsry
negru	negru	Afpms-n
stătea	sta	Vmii3s
exact	exact	Rgp
în	în	Spsa
spate	spate	Ncms-n
.	.	Zp

În	în	Spsa
clipa	clipă	Ncfsry
următoare	următor	Afpf--n
,	,	Zc
tele-ecranul	tele-ecran	Ncmsry
cel	cel	Tdmsr
mai	mai	Rp
mare	mare	Afp-s-n
din	din	Spsa
fundul	fund	Ncmsry
sălii	sală	Ncfsoy
slobozise	slobozi	Vmil3s
un	un	Timsr
glas	glas	Ncms-n
sinistru	sinistru	Afpms-n
,	,	Zc
ca	ca	Rc
scrâșnetul	scrâșnet	Ncmsry
unei	un	Tifso
mașinării	mașinărie	Ncfson
neunse	neuns	Afpfson
.	.	Zp

Un	un	Timsr
zgomot	zgomot	Ncms-n
care	care	Pw3--r
-ți	tu	Pp2-sd--y-----w
strepezea	strepezi	Vmii3s
dinții	dinte	Ncmpry
și	și	Crssp
-ți	tu	Pp2-sd--y-----w
ridica	ridica	Vmii3s
părul	păr	Ncmsry
la	la	Spsa
ceafă	ceafă	Ncfsrn
.	.	Zp

Începuse	începe	Vmil3s
Ura	ură	Ncfsry
.	.	Zp

Ca	ca	Rc
de	de	Spsa
obicei	obicei	Ncms-n
,	,	Zc
pe	pe	Spsa
ecran	ecran	Ncms-n
apăruse	apărea	Vmil3s
chipul	chip	Ncmsry
lui	lui	Tf-so
Emmanuel	Emmanuel	Np
Goldstein	Goldstein	Np
,	,	Zc
Dușmanul	dușman	Ncmsry
Poporului	popor	Ncmsoy
.	.	Zp

Printre	printre	Spsa
spectatori	spectator	Ncmp-n
începuseră	începe	Vmil3p
fluierăturile	fluierătură	Ncfpry
.	.	Zp

Femeia	femeie	Ncfsry
cea	acela	Pd3fsr
măruntă	mărunt	Afpfsrn
cu	cu	Spsa
părul	păr	Ncmsry
ca	ca	Rc
nisipul	nisip	Ncmsry
scosese	scoate	Vmil3s
un	un	Timsr
țipăt	țipăt	Ncms-n
de	de	Spsa
groază	groază	Ncfsrn
amestecată	amesteca	Vmp--sf
cu	cu	Spsa
scârbă	scârbă	Ncfsrn
.	.	Zp

Goldstein	Goldstein	Np
era	fi	Vaii3s
un	un	Timsr
renegat	renegat	Ncms-n
și	și	Crssp
un	un	Timsr
decăzut	decăzut	Ncms-n
care	care	Pw3--r
,	,	Zc
odată	odată	Rgp
,	,	Zc
cu	cu	Spsa
mult	mult	Di3msr
timp	timp	Ncms-n
în	în	Spsa
urmă	urmă	Ncfsrn
-	-	Zd
nimeni	nimeni	Pz3-sr
nu	nu	Qz
-și	sine	Px3--d--y-----w
mai	mai	Rp
amintea	aminti	Vmii3s
cu	cu	Spsa
siguranță	siguranță	Ncfsrn
cât	cât	Rw
anume	anume	Afp
-	-	Zd
fusese	fi	Vail3s
una	unul	Pi3fsr
din	din	Spsa
figurile	figură	Ncfpry
de	de	Spsa
frunte	frunte	Ncfsrn
ale	al	Tsfp
Partidului	partid	Ncmsoy
,	,	Zc
aproape	aproape	Rgp
la	la	Spsa
același	același	Dd3msr---e
nivel	nivel	Ncms-n
cu	cu	Spsa
Fratele	frate	Ncmsry
cel	cel	Tdmsr
Mare	mare	Afp-s-n
însuși	însuși	Dh3ms
,	,	Zc
dar	dar	Ccssp
pe	pe	Spsa
urmă	urmă	Ncfsrn
se	sine	Px3--a--------w
angajase	angaja	Vmil3s
în	în	Spsa
activități	activitate	Ncfp-n
contrarevoluționare	contrarevoluționar	Afpfp-n
,	,	Zc
fusese	fi	Vail3s
condamnat	condamna	Vmp--sm
la	la	Spsa
moarte	moarte	Ncfsrn
dar	dar	Ccssp
,	,	Zc
nu	nu	Qz
se	sine	Px3--a--------w
știe	ști	Vmip3s
cum	cum	Rw
,	,	Zc
scăpase	scăpa	Vmil3s
și	și	Crssp
dispăruse	dispărea	Vmil3s
ca	ca	Rc
prin	prin	Spsa
minune	minune	Ncfsrn
.	.	Zp

Programul	program	Ncmsry
celor	cel	Td-po
Două	doi	Mcfp-l
Minute	minut	Ncfp-n
de	de	Spsa
Ură	ură	Ncfsrn
varia	varia	Vmii3s
de	de	Spsa
la	la	Spsa
o	un	Tifsr
zi	zi	Ncfsrn
la	la	Spsa
alta	altul	Pi3fsr
,	,	Zc
dar	dar	Ccssp
nu	nu	Qz
era	fi	Vmii3s
zi	zi	Ncfsrn
în	în	Spsa
care	care	Pw3--r
Goldstein	Goldstein	Np
să	să	Qs
nu	nu	Qz
fie	fi	Vasp3
personajul	personaj	Ncmsry
principal	principal	Afpms-n
.	.	Zp

Afară	afară	Rgp
,	,	Zc
chiar	chiar	Rgp
și	și	Crssp
prin	prin	Spsa
obloanele	oblon	Ncfpry
trase	trage	Vmp--pf
în	în	Spsa
jos	jos	Rgp
,	,	Zc
atmosfera	atmosferă	Ncfsry
arăta	arăta	Vmii3s
friguroasă	friguros	Afpfsrn
.	.	Zp

El	el	Pp3msr--------s
era	fi	Vaii3s
primul	prim	Momsrly
trădător	trădător	Ncms-n
,	,	Zc
cel	cel	Tdmsr
dintâi	dintâi	Mo---l
care	care	Pw3--r
pătase	păta	Vmil3s
puritatea	puritate	Ncfsry
Partidului	partid	Ncmsoy
.	.	Zp

Toate	tot	Di3fpr
ticăloșiile	ticăloșie	Ncfpry
îndreptate	îndrepta	Vmp--pf
împotriva	împotriva	Spsg
Partidului	partid	Ncmsoy
care	care	Pw3--r
urmaseră	urma	Vmil3p
,	,	Zc
toate	tot	Di3fpr
trădările	trădare	Ncfpry
,	,	Zc
actele	act	Ncfpry
de	de	Spsa
sabotaj	sabotaj	Ncms-n
,	,	Zc
ereziile	erezie	Ncfpry
,	,	Zc
deviațiile	deviație	Ncfpry
,	,	Zc
toate	tot	Pi3fpr
izvorau	izvorî	Vmii3p
direct	direct	Rgp
din	din	Spsa
teoriile	teorie	Ncfpry
lui	lui	Ds3---s
.	.	Zp

Undeva	undeva	Rgp
,	,	Zc
nu	nu	Qz
se	sine	Px3--a--------w
știa	ști	Vmii3s
bine	bine	Rgp
unde	unde	Rw
,	,	Zc
el	el	Pp3msr--------s
mai	mai	Rp
era	fi	Vaii3s
încă	încă	Rgp
în	în	Spsa
viață	viață	Ncfsrn
și	și	Crssp
-și	sine	Px3--d--y-----w
organiza	organiza	Vmii3s
comploturile	complot	Ncfpry
:	:	Zl
poate	poate	Rgp
undeva	undeva	Rgp
dincolo	dincolo	Rgp
de	de	Spsa
ocean	ocean	Ncms-n
,	,	Zc
sub	sub	Spsa
protecția	protecție	Ncfsry
străinilor	străin	Ncmpoy
care	care	Pw3--r
-l	el	Pp3msa--y-----w
plăteau	plăti	Vmii3p
,	,	Zc
sau	sau	Ccssp
,	,	Zc
așa	așa	Rgp
cum	cum	Rw
se	sine	Px3--a--------w
zvonea	zvoni	Vmii3s
din	din	Spsa
când	când	Rw
în	în	Spsa
când	când	Rw
,	,	Zc
poate	poate	Rgp
se	sine	Px3--a--------w
ascundea	ascunde	Vmii3s
pe	pe	Spsa
undeva	undeva	Rgp
chiar	chiar	Rgp
în	în	Spsa
Oceania	Oceania	Np
.	.	Zp

Lui	lui	Tf-so
Winston	Winston	Np
i	el	Pp3-sd--------w
se	sine	Px3--a--------w
crispase	crispa	Vmil3s
diafragma	diafragma	Vmnp
.	.	Zp

Ori	oară	Ncfp-n
de	de	Spsa
câte	cât	Dw3fpr
ori	oară	Ncfp-n
vedea	vedea	Vmii3s
figura	figură	Ncfsry
lui	lui	Tf-so
Goldstein	Goldstein	Np
,	,	Zc
îl	el	Pp3msa--------w
încercau	încerca	Vmii3p
sentimente	sentiment	Ncfp-n
amestecate	amestecat	Afpfp-n
.	.	Zp

Avea	avea	Vmii3s
o	un	Tifsr
față	față	Ncfsrn
prelungă	prelung	Afpfsrn
și	și	Crssp
osoasă	osos	Afpfsrn
de	de	Spsa
evreu	evreu	Ncms-n
,	,	Zc
cu	cu	Spsa
o	un	Tifsr
coamă	coamă	Ncfsrn
de	de	Spsa
păr	păr	Ncms-n
alb	alb	Afpms-n
,	,	Zc
ca	ca	Rc
o	un	Tifsr
aureolă	aureolă	Ncfsrn
,	,	Zc
și	și	Crssp
o	un	Tifsr
barbă	barbă	Ncfsrn
micuță	micuț	Afpfsrn
,	,	Zc
ca	ca	Rc
de	de	Spsa
țap	țap	Ncms-n
;	;	Zs
o	un	Tifsr
figură	figură	Ncfsrn
inteligentă	inteligent	Afpfsrn
și	și	Crssp
,	,	Zc
totuși	totuși	Rgp
,	,	Zc
eminamente	eminamente	Rgp
demnă	demn	Afpfsrn
de	de	Spsa
dispreț	dispreț	Ncms-n
;	;	Zs
purta	purta	Vmii3s
o	un	Tifsr
pereche	pereche	Ncfsrn
de	de	Spsa
ochelari	ochelari	Ncmp-n
proptiți	propti	Vmp--pm
pe	pe	Spsa
vârful	vârf	Ncmsry
nasului	nas	Ncmsoy
,	,	Zc
care	care	Pw3--r
-i	el	Pp3-sd--y-----w
dădeau	da	Vmii3p
o	un	Tifsr
înfățișare	înfățișare	Ncfsrn
de	de	Spsa
prostie	prostie	Ncfsrn
senilă	senil	Afpfsrn
.	.	Zp

Semăna	semăna	Vmii3s
cu	cu	Spsa
o	un	Tifsr
oaie	oaie	Ncfsrn
și	și	Crssp
chiar	chiar	Rgp
și	și	Crssp
în	în	Spsa
voce	voce	Ncfsrn
avea	avea	Vmii3s
inflexiuni	inflexiune	Ncfp-n
ovine	ovin	Afpfp-n
.	.	Zp

Goldstein	Goldstein	Np
își	sine	Px3--d--------w
debitase	debita	Vmil3s
,	,	Zc
ca	ca	Rc
de	de	Spsa
obicei	obicei	Ncms-n
,	,	Zc
atacul	atac	Ncmsry
veninos	veninos	Afpms-n
împotriva	împotriva	Spsg
doctrinelor	doctrină	Ncfpoy
Partidului	partid	Ncmsoy
,	,	Zc
atac	atac	Ncms-n
atât	atât	Rgp
de	de	Spsa
exagerat	exagerat	Afpms-n
și	și	Crssp
de	de	Spsa
ticălos	ticălos	Ncms-n
încât	încât	Csssp
până	până	Csssp
și	și	Crssp
un	un	Timsr
copil	copil	Ncms-n
ar	avea	Va--3
fi	fi	Vanp
trebuit	trebui	Vmp--sm
să	să	Qs
vadă	vedea	Vmsp3
prin	prin	Spsa
el	el	Pp3msr--------s
,	,	Zc
dar	dar	Ccssp
care	care	Pw3--r
,	,	Zc
totuși	totuși	Rgp
,	,	Zc
era	fi	Vaii3s
exact	exact	Rgp
atât	atât	Rgp
de	de	Spsa
plauzibil	plauzibil	Rgp
cât	cât	Rw
să	să	Qs
-ți	tu	Pp2-sd--y-----w
dea	da	Vmsp3
sentimentul	sentiment	Ncmsry
alarmant	alarmant	Afpms-n
că	că	Csssp
alții	altul	Pi3mpr
,	,	Zc
cu	cu	Spsa
mai	mai	Rp
puțin	puțin	Di3ms
echilibru	echilibru	Ncms-n
psihic	psihic	Afpms-n
,	,	Zc
